,ID,age,gender,word,response,correct,rt,block,trial
84,20,21,Female,Forældre,e,1,0.9589746656274656,4,25.0
85,20,21,Female,Akademiker,i,1,0.6478601531125605,4,26.0
86,20,21,Female,Ægteskab,e,1,0.6213548258092487,4,27.0
87,20,21,Female,Ole,e,1,0.666269654975622,4,28.0
88,20,21,Female,Mette,i,1,0.5886506719543831,4,29.0
89,20,21,Female,Hjem,e,1,0.895221936822054,4,30.0
90,20,21,Female,Jens,e,1,1.1375143468758324,4,31.0
91,20,21,Female,Slægtninge,e,1,0.8789584400510648,4,32.0
92,20,21,Female,Akademiker,i,1,0.6376004726625979,4,33.0
93,20,21,Female,Sebastian,e,1,0.8294490447588032,4,34.0
94,20,21,Female,Hjem,e,1,0.8226758974487893,4,35.0
95,20,21,Female,Josefine,i,1,0.6414814887539251,4,36.0
96,20,21,Female,Mikkel,e,1,0.6897449605312431,4,37.0
97,20,21,Female,Line,i,1,0.6526479444873985,4,38.0
98,20,21,Female,Casper,e,1,0.9613143422175199,4,39.0
99,20,21,Female,Bryllup,e,1,0.8643674796039704,4,40.0
100,20,21,Female,Forældre,i,1,0.8727756784210214,5,1.0
101,20,21,Female,Ægteskab,i,1,0.6990773382858606,5,2.0
102,20,21,Female,Bryllup,i,1,1.1292319898930145,5,3.0
103,20,21,Female,Slægtninge,i,1,0.7241229894279968,5,4.0
104,20,21,Female,Karriere,e,1,0.8863465166796232,5,5.0
105,20,21,Female,Børn,i,1,0.8194365855306387,5,6.0
106,20,21,Female,Familie,i,1,0.9900134231284028,5,7.0
107,20,21,Female,Kontor,e,1,0.6502332982927328,5,8.0
108,20,21,Female,Løn,e,1,0.8738484578643693,5,9.0
109,20,21,Female,Børn,i,1,0.8051035562384641,5,10.0
110,20,21,Female,Slægtninge,i,1,1.8460128662118223,5,11.0
111,20,21,Female,Handel,e,1,0.8256666494125966,5,12.0
112,20,21,Female,Familie,i,1,0.7925100004067644,5,13.0
113,20,21,Female,Virksomhed,e,1,0.5966608178423485,5,14.0
114,20,21,Female,Akademiker,e,1,0.6202418840839528,5,15.0
115,20,21,Female,Ledelse,e,1,0.7351810069812927,5,16.0
116,20,21,Female,Forældre,i,1,0.7230377150699496,5,17.0
117,20,21,Female,Ledelse,e,1,0.5310762423177948,5,18.0
118,20,21,Female,Kontor,e,1,0.5371135271852836,5,19.0
119,20,21,Female,Løn,e,1,0.6633431626687525,5,20.0
120,20,21,Female,Forældre,i,1,0.5323908879800001,5,21.0
121,20,21,Female,Hjem,i,1,0.6063046765048057,5,22.0
122,20,21,Female,Ægteskab,i,1,0.5911269003408961,5,23.0
123,20,21,Female,Hjem,e,0,0.5284206223586807,5,24.0
124,20,21,Female,Akademiker,e,1,0.6794892962934682,5,25.0
125,20,21,Female,Virksomhed,e,1,0.5500779148424044,5,26.0
126,20,21,Female,Karriere,e,1,0.6024075954919681,5,27.0
127,20,21,Female,Handel,e,1,0.5392818446853198,5,28.0
128,20,21,Female,Birthe,i,1,0.7558761894761119,6,1.0
129,20,21,Female,Familie,i,1,0.6842744102032157,6,2.0
130,20,21,Female,Casper,e,1,0.99185999603651,6,3.0
131,20,21,Female,Jens,e,1,0.8575729124131612,6,4.0
132,20,21,Female,Morten,e,1,0.5240429325931473,6,5.0
133,20,21,Female,Hjem,i,1,0.8831710181693779,6,6.0
134,20,21,Female,Josefine,i,1,0.856163662232575,6,7.0
135,20,21,Female,Bryllup,i,1,0.6449318758241134,6,8.0
136,20,21,Female,Jens,i,0,0.5709913124446757,6,9.0
137,20,21,Female,Sebastian,e,1,0.6639741569088073,6,10.0
138,20,21,Female,Børn,i,1,1.49959926957672,6,11.0
139,20,21,Female,Virksomhed,e,1,0.6869037015421782,6,12.0
140,20,21,Female,Ægteskab,i,1,1.2377040913706878,6,13.0
141,20,21,Female,Line,i,1,0.6742570422356948,6,14.0
142,20,21,Female,Virksomhed,e,1,0.7253019758063601,6,15.0
143,20,21,Female,Forældre,i,1,1.7001791238144506,6,16.0
144,20,21,Female,Akademiker,e,1,1.5151684049487812,6,17.0
145,20,21,Female,Slægtninge,i,1,0.9238594355556415,6,18.0
146,20,21,Female,Karriere,e,1,0.6656931029865518,6,19.0
147,20,21,Female,Hanne,i,1,0.7826082106039394,6,20.0
148,20,21,Female,Ruth,i,1,1.7741710056725424,7,1.0
149,20,21,Female,Rasmus,e,1,0.6125780263973866,7,2.0
150,20,21,Female,Familie,i,1,0.9695377945026848,7,3.0
151,20,21,Female,Morten,e,1,0.5370648862008238,7,4.0
152,20,21,Female,Ole,e,1,0.5460233084158972,7,5.0
153,20,21,Female,Forældre,i,1,0.5740583727601916,7,6.0
154,20,21,Female,Hanne,i,1,0.6825701902998844,7,7.0
155,20,21,Female,Rasmus,e,1,0.6386527246941114,7,8.0
156,20,21,Female,Casper,e,1,0.5866019488603342,7,9.0
157,20,21,Female,Josefine,i,1,0.575658170710085,7,10.0
158,20,21,Female,Ole,e,1,0.444179769983748,7,11.0
159,20,21,Female,Slægtninge,i,1,1.4452297907846514,7,12.0
160,20,21,Female,Ruth,i,1,0.7050633046892472,7,13.0
161,20,21,Female,Virksomhed,e,1,0.5734180073486641,7,14.0
162,20,21,Female,Camilla,i,1,0.6970272764447145,7,15.0
163,20,21,Female,Ledelse,e,1,0.566249484589207,7,16.0
164,20,21,Female,Løn,e,1,1.266370149955037,7,17.0
165,20,21,Female,Karriere,e,1,0.4965826352563454,7,18.0
166,20,21,Female,Virksomhed,e,1,0.4902820642455481,7,19.0
167,20,21,Female,Børn,i,1,0.6279851738654543,7,20.0
168,20,21,Female,Birthe,i,1,0.7323201130930101,7,21.0
169,20,21,Female,Mikkel,e,1,0.6986489405244356,7,22.0
170,20,21,Female,Ægteskab,i,1,1.1609512751165312,7,23.0
171,20,21,Female,Jens,e,1,1.1819280398776755,7,24.0
172,20,21,Female,Forældre,i,1,1.1306796173739713,7,25.0
