,ID,age,gender,word,response,correct,rt,block,trial
0,21,24,Male,Slægtninge,e,1,1.1316176596446894,1,1.0
1,21,24,Male,Børn,e,1,0.8198816304793581,1,2.0
2,21,24,Male,Hjem,e,1,1.0243692375952378,1,3.0
3,21,24,Male,Familie,e,1,0.7766361334943213,1,4.0
4,21,24,Male,Forældre,e,1,2.1467773387557827,1,5.0
5,21,24,Male,Løn,i,1,0.692640392750036,1,6.0
6,21,24,Male,Familie,e,1,0.791038470051717,1,7.0
7,21,24,Male,Virksomhed,i,1,0.7503151673590764,1,8.0
8,21,24,Male,Forældre,e,1,0.8260229041334242,1,9.0
9,21,24,Male,Kontor,i,1,0.895008638210129,1,10.0
10,21,24,Male,Karriere,i,1,0.7044739227858372,1,11.0
11,21,24,Male,Akademiker,i,1,0.879958433797583,1,12.0
12,21,24,Male,Ledelse,i,1,0.7950608097598888,1,13.0
13,21,24,Male,Karriere,i,1,0.7916003831196576,1,14.0
14,21,24,Male,Virksomhed,i,1,0.7588135680416599,1,15.0
15,21,24,Male,Ægteskab,e,1,0.8651998768327758,1,16.0
16,21,24,Male,Ledelse,i,1,0.973918937437702,1,17.0
17,21,24,Male,Børn,e,1,0.9517528779688291,1,18.0
18,21,24,Male,Handel,i,1,1.061977215576917,1,19.0
19,21,24,Male,Bryllup,e,1,0.78370836970862,1,20.0
20,21,24,Male,Rasmus,e,1,0.7727532029966824,2,1.0
21,21,24,Male,Mette,i,1,0.824852465710137,2,2.0
22,21,24,Male,Morten,e,1,0.6788722396013327,2,3.0
23,21,24,Male,Ole,e,1,0.9700971588026732,2,4.0
24,21,24,Male,Mette,i,1,0.8372842578683048,2,5.0
25,21,24,Male,Line,i,1,1.1266934366431087,2,6.0
26,21,24,Male,Mikkel,e,1,0.7414549870882183,2,7.0
27,21,24,Male,Camilla,i,1,0.6460199962602928,2,8.0
28,21,24,Male,Sebastian,e,1,0.9818242076435126,2,9.0
29,21,24,Male,Morten,e,1,0.5915405141422525,2,10.0
30,21,24,Male,Ruth,i,1,0.7061340038781054,2,11.0
31,21,24,Male,Ole,e,1,0.7563666375936009,2,12.0
32,21,24,Male,Mikkel,e,1,0.5913690323359333,2,13.0
33,21,24,Male,Camilla,i,1,0.6503262859187089,2,14.0
34,21,24,Male,Line,i,1,0.6668458459316753,2,15.0
35,21,24,Male,Jens,e,1,0.598279622325208,2,16.0
36,21,24,Male,Hanne,i,1,0.6014676450868137,2,17.0
37,21,24,Male,Sebastian,e,1,0.6993085133144632,2,18.0
38,21,24,Male,Birthe,i,1,0.6619220505817793,2,19.0
39,21,24,Male,Josefine,i,1,0.5560724243405275,2,20.0
40,21,24,Male,Familie,e,1,1.480667881143745,3,1.0
41,21,24,Male,Ruth,i,1,1.271158977819141,3,2.0
42,21,24,Male,Akademiker,i,1,1.6094828175846487,3,3.0
43,21,24,Male,Hanne,i,1,1.029532081214711,3,4.0
44,21,24,Male,Karriere,i,1,0.8857871059444733,3,5.0
45,21,24,Male,Løn,i,1,0.6977335317642428,3,6.0
46,21,24,Male,Slægtninge,e,1,0.8651070799096487,3,7.0
47,21,24,Male,Børn,e,1,1.367374831053894,3,8.0
48,21,24,Male,Morten,e,1,0.7774734438280575,3,9.0
49,21,24,Male,Ægteskab,e,1,2.8104103590594605,3,10.0
50,21,24,Male,Mette,i,1,1.372268691950012,3,11.0
51,21,24,Male,Hanne,i,1,0.8497831887798384,3,12.0
