"","ID","age","gender","rt_dif","benevolent_score","hostile_score","DB","DB_conf","DB_skill"
"1",1,23,"Male",0.0162754446823827,1.09090909090909,0.818181818181818,-0.0290203948803047,-0.00794297137080251,0.00265373580033705
"2",2,25,"Female",0.0347779872784855,0.909090909090909,0.0909090909090909,-0.065536096563021,0.0431662744345552,-0.0013049977855492
"3",3,24,"Male",0.0205183111189203,0.727272727272727,0.363636363636364,0.00223796909708643,0.0519889105387124,0.00177883656868392
"4",4,23,"Female",0.00421879291368499,1.90909090909091,2.45454545454545,-0.0949307830776172,0.0386614244620096,-0.00248175911705598
"5",5,24,"Male",0.0901316301067376,1.45454545454545,1.90909090909091,0.0388750634807344,0.0230472694055899,0.00151564235864548
"6",6,21,"Female",-0.0415786778614791,2.09090909090909,2.45454545454545,-0.0519131036864632,-0.052541508898386,-0.000506931512000075
"7",7,24,"Male",-0.0622733365540591,2.63636363636364,2.18181818181818,-0.0979702374487028,0.0551209508490395,-0.00524007488528374
"8",8,21,"Female",-0.00671560852029262,1.90909090909091,2.45454545454545,0.0449457851802674,-0.0098922338508056,0.000330443510381517
"9",9,23,"Male",0.0198184580128639,1.63636363636364,0.636363636363636,-0.0991125612376144,0.0352181086329767,0.00305221721007405
"10",10,26,"Female",0.0035740931077115,1.36363636363636,2.09090909090909,0.0481378725391263,0.0151779045346929,0.00192119491188009
"11",11,23,"Male",0.0261409251388531,2.54545454545455,1.90909090909091,-0.207843538793025,0.0392303062727633,0.00234304728949661
"12",12,24,"Female",0.0298114099521584,2,2.18181818181818,0.036872767369927,-0.00154740155050805,-0.00137854143025089
"13",13,23,"Male",0.00920767456425288,0.636363636363636,1.90909090909091,0.0265434717010359,0.0212048204498399,-4.61570627240356e-05
"14",14,25,"Female",0.0638754570775434,2.27272727272727,2.81818181818182,-0.0458353208966504,0.0164180454152963,0.000525059377475673
"15",15,20,"Male",-0.0684511096959204,1.18181818181818,0.818181818181818,-0.0523004969763526,0.0174838979301925,0.0023075553439324
"16",16,21,"Female",0.0388718599138539,1.45454545454545,2.27272727272727,-0.045246524579413,0.0326340578566021,0.00422970888404645
"17",17,20,"Male",-0.00882891691300784,2.09090909090909,1.18181818181818,-0.0477563900782355,0.0476434560526471,-0.00325257580685758
"18",18,21,"Female",-0.0666859404627559,1.45454545454545,2.27272727272727,0.0778264243560388,0.00291323288863116,-1.86344998143128e-05
"19",19,20,"Male",0.0333924498169699,1.18181818181818,0.818181818181818,-0.0255516683095429,0.0182561873658236,0.00147922005501367
"20",20,21,"Female",-0.0621365081937746,0.363636363636364,1.09090909090909,0.0620903153619961,0.0116678086674125,0.00658637741200116
"21",21,24,"Male",0.035981842888926,1.72727272727273,1,0.0596040683785793,0.00812552225535749,0.00334815496326151
"22",22,23,"Female",0.0510471282448744,1.45454545454545,1.09090909090909,0.060683579274397,0.0130218846227044,0.00206888094174733
"23",23,24,"Male",-0.00510388668279442,1.27272727272727,1.18181818181818,0.057982508378517,-0.00111473376508179,0.00258890071790052
"24",24,25,"Female",-0.0717162608236512,1.18181818181818,0.454545454545455,0.0215632048465011,-0.0106897196582386,0.00675208674083755
"25",26,24,"Female",0.11292636583342,0.363636363636364,0.272727272727273,-0.0405412765111475,0.0412709972154903,-0.00504257974615788
"26",27,23,"Male",0.115096441658586,2.09090909090909,2.09090909090909,-0.0654283315429125,-0.00276045144272113,-0.00592695629690194
"27",28,23,"Female",0.0331203192394602,0.272727272727273,1.09090909090909,-0.0653893189861624,0.0226115339791303,0.00334446745318709
"28",29,23,"Male",-0.0499226688656092,1.72727272727273,1.81818181818182,-0.0249009093006361,0.0434539078770859,0.00271353339045653
"29",30,24,"Female",0.073023133139205,1.54545454545455,2.27272727272727,0.145432711396402,-0.0209842119141708,-0.00793514706612308
"30",31,25,"Male",-0.0607821972805661,0.545454545454545,0,0.0622304221177405,0.0127742879021436,-0.00329254129788614
"31",32,26,"Female",-0.0176810125089275,2.09090909090909,0.909090909090909,0.143091929461055,-0.067827091065771,-0.000516796363575265
"32",33,24,"Male",0.0309550660127282,1.81818181818182,2.09090909090909,-0.0558930667465126,0.0222351498191777,0.00338293393431197
"33",34,23,"Female",-0.057045634174417,1.81818181818182,3.54545454545455,0.0573246970636023,0.00551905614715385,-0.00166578307332554
"34",35,24,"Male",0.0105870386969445,1.90909090909091,2.18181818181818,-0.0491512396898826,0.0415974387909522,0.00219102206908673
"35",36,24,"Female",-0.0343463294233934,1.63636363636364,1.81818181818182,0.0257438029713403,0.00940211931832225,0.00113024830128252
"36",37,21,"Male",-0.0925295288580439,2.27272727272727,2.45454545454545,0.019130765446165,0.0134026251731317,0.00196717230775528
"37",38,22,"Female",-0.040346537199782,2.54545454545455,2.27272727272727,-0.0790410363362534,0.0410802633049196,0.0042983864833104
"38",39,24,"Male",0.0732117603843269,2.27272727272727,2.18181818181818,-0.109692738807413,0.0371784966630432,-0.00781909159767281
"39",40,26,"Female",-0.024238115297137,1.90909090909091,0.909090909090909,-0.0446628136518794,0.0273145818822553,-0.000718443587770162
"40",41,21,"Male",-0.00328942001157841,1.18181818181818,1.18181818181818,0.0835840467878353,-0.00837838318804559,-0.00140958043611618
"41",42,24,"Female",0.0516719317750003,0.727272727272727,1.09090909090909,0.0402620749835993,0.00571228854584769,0.00295421788863606
"42",43,25,"Male",0.0416590599700678,2.18181818181818,2.18181818181818,-0.0620979698550412,-0.000467365969635929,0.00523784356289051
"43",44,24,"Female",-0.0114443843823718,2,1.09090909090909,-0.0624573582357582,0.02734987983144,0.000442040618820577
