"","SubjectID_right_unique","SubjectID_left_unique","SubjectID_left","SubjectID_right","Gender_left","Gender_right","Age_left","Age_right","Image_1","Image_2","Prop_red_image_1","Prop_red_image_2","Prop_yellow_image_1","Prop_yellow_image_2","Prop_green_image_1","Prop_green_image_2","Prop_blue_image_1","Prop_blue_image_2","Response_left","Response_right","Joint_left","Joint_right","Correct_left","Correct_right","Correct_joint","RT_left","RT_right","RT_joint_left","RT_joint_right","Round","Block","group_id","diff","response_right_dummy","response_left_dummy","response_joint_dummy","chosen_leader","Leader_gender","Follower_gender","leader_behavior","Intercept_left","Slope_left","Intercept_right","Slope_right","skill_dif","Response_left_abs","Response_right_abs","conf_dif","z_Response_left","z_Response_right"
"1","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r16y21g04b04.jpeg","Stim\r15y05g12b10.jpeg",16,15,21,5,4,12,4,10,3,-2,1,0,0,1,0,1.888,1.867,6.121,0,1,"rød","3_1",-1,0,1,1,"Left_lead","Male","Male","stick",0.326793111350138,0.201189750251438,0.259846981224718,0.19553414531727,1.02892387375612,3,2,-1.1201555707386,1.07789629368213,-0.962273742897504
"2","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r20y14g02b19.jpeg","Stim\r21y01g04b27.jpeg",20,21,14,1,2,4,19,27,2,-1,0,-1,1,0,0,2.142,1.872,0,7.432,1,"rød","3_1",1,0,1,0,"Right_lead","Male","Male","stick",0.326793111350138,0.201189750251438,0.259846981224718,0.19553414531727,0.971889199489041,2,1,-0.657526978377018,0.671476379670833,-0.441513834976502
"3","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r09y15g18b07.jpeg","Stim\r06y36g16b14.jpeg",9,6,15,36,18,16,7,14,-2,2,0,-1,1,0,1,1.693,2.856,0,4.031,1,"rød","3_1",-3,1,0,0,"Right_lead","Male","Male","surrender",0.326793111350138,0.201189750251438,0.259846981224718,0.19553414531727,0.971889199489041,2,2,-1.17455673915211,-0.954203276374342,1.1207658887865
"4","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r08y23g10b29.jpeg","Stim\r10y02g36b05.jpeg",8,10,23,2,10,36,29,5,2,-1,-1,0,1,0,0,2.192,2.055,1.961,0,1,"rød","3_1",2,0,1,0,"Left_lead","Male","Male","surrender",0.326793111350138,0.201189750251438,0.259846981224718,0.19553414531727,1.02892387375612,2,1,-1.52085014438238,0.671476379670833,-0.441513834976502
"5","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r11y26g25b38.jpeg","Stim\r15y16g12b03.jpeg",11,15,26,16,25,12,38,3,3,-2,0,-1,1,0,0,2.409,1.473,0,4.129,1,"rød","3_1",4,0,1,0,"Right_lead","Male","Male","stick",0.326793111350138,0.201189750251438,0.259846981224718,0.19553414531727,0.971889199489041,3,2,-0.892733140041096,1.07789629368213,-0.962273742897504
"6","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r11y14g08b23.jpeg","Stim\r08y23g10b29.jpeg",11,8,14,23,8,10,23,29,-2,1,0,-1,1,0,1,2.381,1.775,0,4.168,1,"rød","3_1",-3,1,0,0,"Right_lead","Male","Male","surrender",0.326793111350138,0.201189750251438,0.259846981224718,0.19553414531727,0.971889199489041,2,1,-0.628803102778401,-0.954203276374342,0.600005980865502
"7","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r07y02g03b06.jpeg","Stim\r14y12g04b29.jpeg",7,14,2,12,3,4,6,29,-2,2,1,0,0,1,1,1.989,2.701,4.514,0,1,"rød","3_1",7,1,0,1,"Left_lead","Male","Male","surrender",0.326793111350138,0.201189750251438,0.259846981224718,0.19553414531727,1.02892387375612,2,2,-0.851385009056167,-0.954203276374342,1.1207658887865
"8","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r13y33g08b23.jpeg","Stim\r11y13g22b35.jpeg",13,11,33,13,8,22,23,35,2,-1,1,0,0,1,0,1.078,1.825,1.666,0,1,"rød","3_1",-2,0,1,1,"Left_lead","Male","Male","stick",0.326793111350138,0.201189750251438,0.259846981224718,0.19553414531727,1.02892387375612,2,1,-1.52085014438238,0.671476379670833,-0.441513834976502
"9","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r07y14g27b22.jpeg","Stim\r09y06g26b32.jpeg",7,9,14,6,27,26,22,32,2,-2,0,-1,1,0,0,1.699,1.592,0,2.427,1,"rød","3_1",2,0,1,0,"Right_lead","Male","Male","stick",0.326793111350138,0.201189750251438,0.259846981224718,0.19553414531727,0.971889199489041,2,2,-1.43307161953965,0.671476379670833,-0.962273742897504
"10","1_1","3_1","3",1,"Male","Male",24,23,"Stim\r08y09g09b11.jpeg","Stim\r09y06g26b32.jpeg",8,9,9,6,9,26,11,32,2,-2,-1,0,1,0,0,1.457,1.707,1.951,0,1,"rød","3_1",1,0,1,0,"Left_lead","Male","Male","surrender",0.326793111350138,0.201189750251438,0.259846981224718,0.19553414531727,1.02892387375612,2,2,-0.697801830951917,0.671476379670833,-0.962273742897504
