"","SubjectID_unique","SubjectID","Gender","Age","Image_1","Image_2","Prop_red_image_1","Prop_red_image_2","Prop_yellow_image_1","Prop_yellow_image_2","Prop_green_image_1","Prop_green_image_2","Prop_blue_image_1","Prop_blue_image_2","Response","Joint","Correct","Correct_joint","RT","RT_joint","Round","Block","group_id","diff","response_dummy","response_joint_dummy","chosen_leader","Leader_gender","Follower_gender","leader_behavior","Intercept","Slope","skill_dif","Side"
"1","3_1","3","Male",24,"Stim\r16y21g04b04.jpeg","Stim\r15y05g12b10.jpeg",16,15,21,5,4,12,4,10,3,1,0,0,1.888,6.121,1,"rød","3_1",-1,1,1,"Left_lead","Male","Male","stick",0.326793111350138,0.201189750251438,1.02892387375612,"left"
"4","3_1","3","Male",24,"Stim\r08y23g10b29.jpeg","Stim\r10y02g36b05.jpeg",8,10,23,2,10,36,29,5,2,-1,1,0,2.192,1.961,1,"rød","3_1",2,1,0,"Left_lead","Male","Male","surrender",0.326793111350138,0.201189750251438,1.02892387375612,"left"
"7","3_1","3","Male",24,"Stim\r07y02g03b06.jpeg","Stim\r14y12g04b29.jpeg",7,14,2,12,3,4,6,29,-2,1,0,1,1.989,4.514,1,"rød","3_1",7,0,1,"Left_lead","Male","Male","surrender",0.326793111350138,0.201189750251438,1.02892387375612,"left"
"8","3_1","3","Male",24,"Stim\r13y33g08b23.jpeg","Stim\r11y13g22b35.jpeg",13,11,33,13,8,22,23,35,2,1,0,0,1.078,1.666,1,"rød","3_1",-2,1,1,"Left_lead","Male","Male","stick",0.326793111350138,0.201189750251438,1.02892387375612,"left"
"10","3_1","3","Male",24,"Stim\r08y09g09b11.jpeg","Stim\r09y06g26b32.jpeg",8,9,9,6,9,26,11,32,2,-1,1,0,1.457,1.951,1,"rød","3_1",1,1,0,"Left_lead","Male","Male","surrender",0.326793111350138,0.201189750251438,1.02892387375612,"left"
"11","3_1","3","Male",24,"Stim\r14y12g04b29.jpeg","Stim\r13y33g08b23.jpeg",14,13,12,33,4,8,29,23,2,-1,0,1,1.322,3.525,1,"rød","3_1",-1,1,0,"Left_lead","Male","Male","surrender",0.326793111350138,0.201189750251438,1.02892387375612,"left"
"13","3_1","3","Male",24,"Stim\r21y03g15b37.jpeg","Stim\r18y13g28b06.jpeg",21,18,3,13,15,28,37,6,3,1,0,0,1.607,1.824,1,"rød","3_1",-3,1,1,"Left_lead","Male","Male","stick",0.326793111350138,0.201189750251438,1.02892387375612,"left"
"14","3_1","3","Male",24,"Stim\r18y19g14b27.jpeg","Stim\r19y10g06b15.jpeg",18,19,19,10,14,6,27,15,1,-1,1,0,1.577,1.044,1,"rød","3_1",1,1,0,"Left_lead","Male","Male","surrender",0.326793111350138,0.201189750251438,1.02892387375612,"left"
"15","3_1","3","Male",24,"Stim\r14y08g21b39.jpeg","Stim\r12y12g14b26.jpeg",14,12,8,12,21,14,39,26,2,-1,0,1,2.765,1.33,1,"rød","3_1",-2,1,0,"Left_lead","Male","Male","surrender",0.326793111350138,0.201189750251438,1.02892387375612,"left"
"16","3_1","3","Male",24,"Stim\r03y03g02b05.jpeg","Stim\r04y28g27b06.jpeg",3,4,3,28,2,27,5,6,4,1,1,1,1.327,1.14,1,"rød","3_1",1,1,1,"Left_lead","Male","Male","stick",0.326793111350138,0.201189750251438,1.02892387375612,"left"
"18","3_1","3","Male",24,"Stim\r12y07g07b17.jpeg","Stim\r09y17g32b21.jpeg",12,9,7,17,7,32,17,21,-2,1,0,1,2.47,1.474,1,"blå","3_1",4,0,1,"Left_lead","Male","Male","surrender",0.326793111350138,0.201189750251438,1.02892387375612,"left"
"19","3_1","3","Male",24,"Stim\r21y31g06b08.jpeg","Stim\r22y35g09b11.jpeg",21,22,31,35,6,9,8,11,4,1,1,1,1.193,1.563,1,"blå","3_1",3,1,1,"Left_lead","Male","Male","stick",0.326793111350138,0.201189750251438,1.02892387375612,"left"
"20","3_1","3","Male",24,"Stim\r13y33g08b23.jpeg","Stim\r17y22g16b15.jpeg",13,17,33,22,8,16,23,15,-1,1,1,0,2.316,1.064,1,"blå","3_1",-8,0,1,"Left_lead","Male","Male","surrender",0.326793111350138,0.201189750251438,1.02892387375612,"left"
"21","3_1","3","Male",24,"Stim\r11y10g06b19.jpeg","Stim\r09y17g32b21.jpeg",11,9,10,17,6,32,19,21,4,1,1,1,1.103,1.025,1,"blå","3_1",2,1,1,"Left_lead","Male","Male","stick",0.326793111350138,0.201189750251438,1.02892387375612,"left"
