,QuestionNumber,QuestionAnswer,ID,age,gender
0,1,1,44,24,Female
1,2,0,44,24,Female
2,3,3,44,24,Female
3,4,0,44,24,Female
4,5,1,44,24,Female
5,6,3,44,24,Female
6,7,4,44,24,Female
7,8,1,44,24,Female
8,9,3,44,24,Female
9,10,2,44,24,Female
10,11,1,44,24,Female
11,12,2,44,24,Female
12,13,3,44,24,Female
13,14,1,44,24,Female
14,15,3,44,24,Female
15,16,1,44,24,Female
16,17,1,44,24,Female
17,18,3,44,24,Female
18,19,4,44,24,Female
19,20,1,44,24,Female
20,21,5,44,24,Female
21,22,3,44,24,Female
