,QuestionNumber,QuestionAnswer,ID,age,gender
0,1,2,04,23,Female
1,2,1,04,23,Female
2,3,5,04,23,Female
3,4,3,04,23,Female
4,5,3,04,23,Female
5,6,2,04,23,Female
6,7,4,04,23,Female
7,8,0,04,23,Female
8,9,3,04,23,Female
9,10,2,04,23,Female
10,11,3,04,23,Female
11,12,3,04,23,Female
12,13,1,04,23,Female
13,14,4,04,23,Female
14,15,2,04,23,Female
15,16,3,04,23,Female
16,17,0,04,23,Female
17,18,2,04,23,Female
18,19,3,04,23,Female
19,20,0,04,23,Female
20,21,3,04,23,Female
21,22,3,04,23,Female
