,QuestionNumber,QuestionAnswer,ID,age,gender
0,1,1,58,21,Female
1,2,2,58,21,Female
2,3,4,58,21,Female
3,4,2,58,21,Female
4,5,3,58,21,Female
5,6,5,58,21,Female
6,7,5,58,21,Female
7,8,1,58,21,Female
8,9,3,58,21,Female
9,10,4,58,21,Female
10,11,1,58,21,Female
11,12,0,58,21,Female
12,13,4,58,21,Female
13,14,3,58,21,Female
14,15,3,58,21,Female
15,16,1,58,21,Female
16,17,1,58,21,Female
17,18,4,58,21,Female
18,19,3,58,21,Female
19,20,1,58,21,Female
20,21,3,58,21,Female
21,22,2,58,21,Female
