,QuestionNumber,QuestionAnswer,ID,age,gender
0,1,3,38,22,Female
1,2,1,38,22,Female
2,3,4,38,22,Female
3,4,3,38,22,Female
4,5,3,38,22,Female
5,6,3,38,22,Female
6,7,4,38,22,Female
7,8,3,38,22,Female
8,9,3,38,22,Female
9,10,3,38,22,Female
10,11,2,38,22,Female
11,12,2,38,22,Female
12,13,1,38,22,Female
13,14,3,38,22,Female
14,15,3,38,22,Female
15,16,2,38,22,Female
16,17,3,38,22,Female
17,18,3,38,22,Female
18,19,4,38,22,Female
19,20,0,38,22,Female
20,21,3,38,22,Female
21,22,3,38,22,Female
