,QuestionNumber,QuestionAnswer,ID,age,gender
0,1,3,33,24,Male
1,2,4,33,24,Male
2,3,4,33,24,Male
3,4,1,33,24,Male
4,5,2,33,24,Male
5,6,2,33,24,Male
6,7,1,33,24,Male
7,8,4,33,24,Male
8,9,3,33,24,Male
9,10,1,33,24,Male
10,11,1,33,24,Male
11,12,2,33,24,Male
12,13,2,33,24,Male
13,14,3,33,24,Male
14,15,1,33,24,Male
15,16,1,33,24,Male
16,17,1,33,24,Male
17,18,4,33,24,Male
18,19,0,33,24,Male
19,20,0,33,24,Male
20,21,1,33,24,Male
21,22,0,33,24,Male
