,QuestionNumber,QuestionAnswer,ID,age,gender
0,1,2,37,21,Male
1,2,3,37,21,Male
2,3,3,37,21,Male
3,4,3,37,21,Male
4,5,2,37,21,Male
5,6,4,37,21,Male
6,7,3,37,21,Male
7,8,1,37,21,Male
8,9,4,37,21,Male
9,10,1,37,21,Male
10,11,3,37,21,Male
11,12,1,37,21,Male
12,13,1,37,21,Male
13,14,3,37,21,Male
14,15,3,37,21,Male
15,16,1,37,21,Male
16,17,5,37,21,Male
17,18,1,37,21,Male
18,19,2,37,21,Male
19,20,1,37,21,Male
20,21,3,37,21,Male
21,22,2,37,21,Male
