"","ID","age","gender","word","response","correct","rt","block","trial","condition","rt_log"
"65",1,23,"Male","Casper","e",1,0.970109099999718,6,15,0,-0.030346739582947
"66",1,23,"Male","Ægteskab","i",1,1.15089490000082,6,16,0,0.14053981366858
"67",1,23,"Male","Josefine","i",1,0.948644500000228,6,17,0,-0.0527211554011001
"68",1,23,"Male","Familie","i",1,0.936893100000816,6,18,0,-0.0651860907646597
"69",1,23,"Male","Ledelse","e",1,0.853909500000555,6,19,0,-0.157930062705291
"70",1,23,"Male","Ægteskab","i",1,1.48970350000036,7,3,0,0.398577106867227
"71",1,23,"Male","Karriere","e",1,1.29482170000028,7,4,0,0.258373002274808
"72",1,23,"Male","Børn","i",1,2.29768390000027,7,5,0,0.83190161557008
"73",1,23,"Male","Sebastian","e",1,1.25990679999995,7,6,0,0.231037749973595
"74",1,23,"Male","Mette","i",1,0.985533699999905,7,7,0,-0.0145719571344473
"75",1,23,"Male","Kontor","e",1,1.4242592999999,7,8,0,0.353651889109483
"76",1,23,"Male","Line","i",1,0.843603600000279,7,9,0,-0.170072562960973
"77",1,23,"Male","Morten","e",1,0.783903800000189,7,10,0,-0.243468970241882
"78",1,23,"Male","Børn","i",1,1.04647979999936,7,11,0,0.0454319602803183
"79",1,23,"Male","Hjem","i",1,1.67634160000034,7,12,0,0.516613799907655
"80",1,23,"Male","Line","i",1,1.51614270000027,7,13,0,0.416169412078076
"81",1,23,"Male","Forældre","i",1,1.06668020000052,7,14,0,0.0645512085575722
"82",1,23,"Male","Mikkel","e",1,0.703509799999665,7,15,0,-0.351673472176937
"83",1,23,"Male","Casper","e",1,0.481195299999854,7,16,0,-0.731482062178162
"84",1,23,"Male","Ledelse","e",1,0.60868230000051,7,17,0,-0.496458822267931
"85",1,23,"Male","Ole","e",1,0.538431299999502,7,18,0,-0.619095367126877
"86",1,23,"Male","Hjem","i",1,0.686413499999617,7,19,0,-0.376275063170184
"87",1,23,"Male","Handel","e",1,0.67368820000047,7,20,0,-0.394987886382706
"88",1,23,"Male","Josefine","i",1,0.972389399999884,7,21,0,-0.0279989374635453
"89",1,23,"Male","Rasmus","e",1,1.01919990000079,7,22,0,0.0190179077203581
"90",1,23,"Male","Casper","e",1,0.545292099999642,7,23,0,-0.606433664593829
"91",1,23,"Male","Virksomhed","e",1,0.794177800000398,7,24,0,-0.230447913331929
"92",1,23,"Male","Ole","e",1,0.74986650000028,7,25,0,-0.287860088295287
"93",1,23,"Male","Hanne","i",1,0.729931599999873,7,26,0,-0.314804447860003
"94",1,23,"Male","Karriere","e",1,0.87301590000061,7,27,0,-0.135801510249273
"95",1,23,"Male","Ledelse","e",1,1.01551999999992,7,28,0,0.0154007965759481
"96",1,23,"Male","Akademiker","e",1,0.586314399999537,7,29,0,-0.53389911450932
"97",1,23,"Male","Familie","i",1,0.602494199999455,7,30,0,-0.506677240220583
"98",1,23,"Male","Sebastian","e",1,0.6245657999998,7,31,0,-0.470698590675818
"99",1,23,"Male","Josefine","i",1,0.678725900000245,7,33,0,-0.387537914809672
"100",1,23,"Male","Kontor","e",1,0.96306100000038,7,34,0,-0.0376385254721963
"101",1,23,"Male","Jens","e",1,1.34424349999972,7,35,0,0.295831401285672
"102",1,23,"Male","Bryllup","i",1,1.05310019999979,7,36,0,0.0517383853196844
"103",1,23,"Male","Ægteskab","i",1,0.874281999999766,7,37,0,-0.134352300906383
"104",1,23,"Male","Birthe","i",1,0.981970699999692,7,38,0,-0.0181938081403283
"105",1,23,"Male","Forældre","i",1,1.67402029999994,7,39,0,0.515228098636491
"106",1,23,"Male","Børn","i",1,1.42896289999953,7,40,0,0.356948936399043
"107",2,25,"Female","Akademiker","i",1,0.822788679011865,3,3,1,-0.195055880398789
"108",2,25,"Female","Mette","i",1,0.584798658004729,3,4,1,-0.536487665342756
"109",2,25,"Female","Birthe","i",1,0.523819716996513,3,5,1,-0.646607705393774
"110",2,25,"Female","Casper","e",1,0.701477461989271,3,6,1,-0.354566508267549
"111",2,25,"Female","Forældre","e",1,0.596460185013711,3,7,1,-0.516742787343792
"112",2,25,"Female","Josefine","i",1,0.560381849005353,3,8,1,-0.57913685439902
"113",2,25,"Female","Birthe","i",1,0.66681335499743,3,9,1,-0.405245099815619
"114",2,25,"Female","Mette","i",1,0.573178842023481,3,10,1,-0.556557495740997
"115",2,25,"Female","Morten","e",1,0.623811891011428,3,11,1,-0.471906412772373
"116",2,25,"Female","Handel","i",1,1.16741979101789,3,12,1,0.154796006717256
"117",2,25,"Female","Virksomhed","i",1,0.455124482978135,3,13,1,-0.787184308486887
"118",2,25,"Female","Hanne","i",1,0.879862372006755,3,14,1,-0.127989779187797
"119",2,25,"Female","Ole","e",1,0.607470882998314,3,15,1,-0.498451034136958
"120",2,25,"Female","Ledelse","i",1,0.667654775985284,3,16,1,-0.403984041451128
